,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226257883387966,0.0,0.0,0.0,0.0,0.0,0.03918353224740092,0.6273920313424545,0.0,0.0,0.11200934642107231,0.0,1.0,0.5265562886404445,0.0,0.0,0.0,0.0,0.36409870317609755,1.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22965104624008642,0.0,0.0,0.0,0.0,0.5041483458177775,0.022377575130399063,0.969113159388151,0.0,0.0,0.21844707482875453,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.34729274605909455,0.7002178455162936,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033581546541732996,0.8290635167464728,0.0,0.0,0.05038750365873372,0.0,0.45373189787941204,0.2296510462400845,0.0,0.0,0.0,0.0,0.21844707482875056,1.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033581546541731074,0.6890138741047929,0.0,0.0,0.0,0.0,0.0896024493709565,0.0391835322473999,0.0,0.0,0.0,0.0,0.0,0.3472927460590904,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08960140359840456,0.957909187976821,0.0,0.0,0.10640736071540732,0.0,0.4145176493488914,0.20164111771174972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07839743218706871,0.980317130799487,0.0,0.0,0.08399941789274137,0.0,0.548965480580332,0.19603913200607886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288153035380752,0.2240490605344176,0.0,0.0,0.0,0.0,0.2576609747684174,0.005571618013396192,0.0,0.0,0.0,0.0,0.0,0.8458694738634491,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06719346077573478,0.15682523206641016,0.0,0.0,0.0,0.0,0.43692509833452103,0.10640736071540552,0.0,0.0,0.0,0.0,0.18483516059474686,1.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173603719065133,0.5097503315234444,0.0,0.0,0.07279544648140372,0.0,0.8626758521944212,0.30247686041375704,0.0,0.0,0.0,0.0,0.25205898906275237,1.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173603719065133,0.5097503315234444,0.0,0.0,0.07279544648140372,0.0,0.8626758521944212,0.30247686041375704,0.0,0.0,0.0,0.0,0.25205898906275237,1.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12321331783240827,0.0,0.0,0.0,0.0,0.0,0.033581546541732996,0.36409870317609755,0.0,0.0,0.0,0.0,0.3192822946444838,0.18483516059474292,0.0,0.0,0.0,0.0,0.1680292034777441,0.6778099026934358,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05038750365873383,0.08399941789273765,0.4761384172894407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46493444587810684,0.0,0.4593324601724133,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248848032364267,0.0,0.0,0.0,0.0,0.16242721777207517,0.07839743218707255,0.4985463601121085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3640987031760955,0.14562126065507713,0.9355012451541317,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21844707482875056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1736311891834109,0.0,0.9242987407293118,0.4649344458781046,0.0,0.0,0.0,0.0,0.40891458882143505,1.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24085501765141842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25766097476841915,0.0,1.0,0.6610039455764581,0.0,0.0,0.0,0.0,0.23525303194575142,0.9859191165051236,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15682523206641108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3360887746477606,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.812257559629473,1.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36409870317609755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4761384172894366,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49854636011210945,1.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40891458882143505,0.0,0.0,0.0,0.0,0.0,0.08399941789273561,1.0,0.0,0.0,0.4425265030554392,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37530267458743044,0.9635111736824576,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24645700335708726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33608877464775905,0.0,1.0,0.8850833738031426,0.0,0.0,0.0,0.0,0.027979560836064954,0.358496717470413,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22965104624008248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36409870317609344,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22965104624007726,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24645700335708737,0.0,0.0,0.0,0.0,0.40891458882143505,0.05038750365873383,1.0,0.0,0.0,0.36409870317609755,0.0,1.0,0.817859545335139,0.0,0.0,0.0,0.0,0.24085501765141934,0.9971230879164598,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24645700335708737,0.0,0.0,0.0,0.0,0.40891458882143505,0.05038750365873383,1.0,0.0,0.0,0.36409870317609755,0.0,1.0,0.817859545335139,0.0,0.0,0.0,0.0,0.24085501765141934,0.9971230879164598,0.0,0.0,0.0
