,sample,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
37,62.0,0.0,0.0,0.0,0.14290859635481967,0.0,0.0,0.03422869805104049,0.05567646099419012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23247001442052825,0.0,0.3314863906540319,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0409458669105386
38,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013061177415799832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29151573527498015,0.28973502018524283,0.33333333333333337,0.0,0.0
39,64.0,0.0,0.0,0.0,0.1180854648794427,0.0,0.0,0.030051809256392087,0.046906758417502206,0.012244892292973004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688363065222399,0.0,0.026133590951014037,0.0,0.0,0.014928505984355769,0.0,0.0,0.0677084073078225,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.05748741222097707
40,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013222936540517,0.0,0.2336795268608132,0.0,0.33333333333333337,0.33333333333333337,0.0,0.03173446310135697,0.3140732538203171,0.28492526360325765,0.0,0.0,0.013061177415783802
41,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05324342864742862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009326520278688634,0.0,0.33333333333333337,0.0,0.33333333333333337,0.3227178851214384,0.0,0.0,0.2500649425035874,0.23340594850535828,0.0,0.0,0.0
42,67.0,0.0,0.0,0.0,0.07614946670618557,0.0,0.0,0.03085333147884993,0.08624147373288797,0.024702435042222835,0.0,0.0,0.03547924280255869,0.0,0.0,0.0,0.0,0.0,0.0,0.1138969201178091,0.0,0.15124349148892424,0.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.182635263274753,0.0,0.0,0.33333333333333337,0.33333333333333337,0.061611720198219776
43,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05082500442474518,0.01780416019674405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13630486294047836,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0,0.16244746290025847,0.2651505341708235,0.0,0.0,0.0,0.0
44,69.0,0.0,0.0,0.0,0.07212820978336591,0.0,0.0,0.02293664461880403,0.029347372076342106,0.04588276209123238,0.0,0.0,0.0,0.005592487700272034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19816439529317256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25529765845583635,0.0,0.0,0.33333333333333337,0.09335630586372233
45,70.0,0.0,0.0,0.0,0.06662465044026963,0.0,0.011193848847244102,0.04689809479201007,0.04951062447606484,0.022630136992162427,0.0,0.0,0.0,0.020189030244787996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16257620119355165,0.0,0.18113017222062072,0.0,0.0,0.0,0.0,0.0,0.10982368772266193,0.33333333333333337,0.0,0.0,0.0
46,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04391042088079927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.016389997172850064,0.05048007726158641,0.0,0.02688345784874816,0.00895710359061374,0.0,0.0,0.0,0.0,0.1537058120757686,0.0,0.0,0.1893410433130968,0.0,0.0,0.0,0.0
47,303.0,0.0,0.0,0.0,0.029927399475715644,0.0,0.0,0.016843262284140705,0.027444013050499625,0.026866179640384895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014282317214032775,0.0,0.0,0.0,0.0,0.0,0.0,0.03610897724126329,0.16708983555437212,0.004475515026096841,0.0,0.09840437216651468,0.0
48,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01810056976333773,0.0,0.0,0.0,0.04178645770604674,0.0,0.0,0.0,0.10335939101108682,0.24494897427831783,0.0,0.1819719386170248,0.18422915387475644,0.24494897427831783,0.0,0.0,0.0
49,308.0,0.0,0.0,0.001118878756519905,0.0,0.0,0.0,0.04283222972137185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701637731716354,0.04479364071954266,0.09933992677987828,0.0,0.0,0.08153670872183258,0.0,0.0,0.0,0.07097745641211665,0.04999999999999999,0.0,0.0,0.07129171857419156,0.015096614516663347,0.0,0.0642338145231139,0.0
50,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01356097153379826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850383148048942,0.04171128862610117,0.054057696497189174,0.0,0.0,0.019352966476089,0.0,0.0,0.0,0.008957103590613379,0.21144482161294234,0.0,0.06227409449859103,0.13863025681051055,0.24494897427831783,0.0,0.0,0.0
51,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056226748484118905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015193665234510498,0.0,0.0,0.0,0.0,0.03136504641328221,0.0,0.0,0.16772899109435305,0.0,0.0,0.0,0.0
